no	ID	tube_label	pop.x	site.x	order	pop_code	rid	mf	pop.y	lf_thickness	postvern_stem_diam	postvern_height	postvern_lngst_lf	postvern_no_lvs	postvern_no_brs	flrd_yn	died_during_drt	site.y	el	lat	long	cwd	ppt	pck	str	tmn	tmx	PC1	PC2	season_length	sla
13	LV2-9-1	ST8L4	LV2	LV	100	7	289	9	LV2	0.25	1.32	6	1.6	13	1	0	0	LV	2500.457178	40.46563	-121.51487	17743.8300485611	53065.5599083528	152474.580302238	252178.970031738	-1.44479675999361	11.3058265863153	2.31466129524255	-1.25475241445329	4.74193548387097	14.79220779
73	LV2-11-2	ST8L44	LV2	LV	107	7	290	11	LV2	0.38	1.9	7.7	1.3	13	1	1	0	LV	2500.457178	40.46563	-121.51487	17743.8300485611	53065.5599083528	152474.580302238	252178.970031738	-1.44479675999361	11.3058265863153	2.31466129524255	-1.25475241445329	4.74193548387097	17.6779661
35	LV2-8-1	ST6L12	LV2	LV	110	7	285	8	LV2	0.32	1.38	3	1.4	13	1	0	0	LV	2500.457178	40.46563	-121.51487	17743.8300485611	53065.5599083528	152474.580302238	252178.970031738	-1.44479675999361	11.3058265863153	2.31466129524255	-1.25475241445329	4.74193548387097	15.94029851
78	LV2-10-3	ST3L3	LV2	LV	145	7	281	10	LV2	0.26	1.47	4.5	1.5	13	1	1	0	LV	2500.457178	40.46563	-121.51487	17743.8300485611	53065.5599083528	152474.580302238	252178.970031738	-1.44479675999361	11.3058265863153	2.31466129524255	-1.25475241445329	4.74193548387097	16.76056338
51	LV2-13-1	ST4L25	LV2	LV	150	7	284	13	LV2	0.25	1.95	3.1	1.5	12	1	0	0	LV	2500.457178	40.46563	-121.51487	17743.8300485611	53065.5599083528	152474.580302238	252178.970031738	-1.44479675999361	11.3058265863153	2.31466129524255	-1.25475241445329	4.74193548387097	11.86554622
88	LV2-5-1	ST1L27	LV2	LV	157	7	280	5	LV2	0.28	1.49	1.7	1.3	13	1	0	0	LV	2500.457178	40.46563	-121.51487	17743.8300485611	53065.5599083528	152474.580302238	252178.970031738	-1.44479675999361	11.3058265863153	2.31466129524255	-1.25475241445329	4.74193548387097	22.17647059
165	LV2-2-1	ST6L44	LV2	LV	166	7	287	2	LV2	0.24	2.07	2	1.7	16	1	1	1	LV	2500.457178	40.46563	-121.51487	17743.8300485611	53065.5599083528	152474.580302238	252178.970031738	-1.44479675999361	11.3058265863153	2.31466129524255	-1.25475241445329	4.74193548387097	19.05940594
133	LV2-10-2	ST9L44	LV2	LV	173	7	291	10	LV2	0.39	1.78	4.1	1.5	13	1	0	0	LV	2500.457178	40.46563	-121.51487	17743.8300485611	53065.5599083528	152474.580302238	252178.970031738	-1.44479675999361	11.3058265863153	2.31466129524255	-1.25475241445329	4.74193548387097	13.48888889
170	LV2-4-1	ST6L16	LV2	LV	190	7	286	4	LV2	0.28	1.36	3.4	1.4	14	1	0	0	LV	2500.457178	40.46563	-121.51487	17743.8300485611	53065.5599083528	152474.580302238	252178.970031738	-1.44479675999361	11.3058265863153	2.31466129524255	-1.25475241445329	4.74193548387097	17.21666667
128	LV3-5-1	ST12L5	LV3	LV	24	8	315	5	LV3	0.45	1.9	7.3	1.8	12	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	NA
48	LV3-4-2	ST15L40	LV3	LV	56	8	319	4	LV3	0.35	0.89	2.4	0.9	9	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	NA
110	LV3-10-1	ST1L32	LV3	LV	94	8	296	10	LV3	0.3	1.96	4.7	1.6	13	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	12.20472441
83	LV3-7-1	ST2L18	LV3	LV	98	8	299	7	LV3	0.26	1.47	3.5	1.4	11	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	15.71052632
89	LV3-8-1	ST1L2	LV3	LV	131	8	295	8	LV3	0.21	1.28	3.2	1.1	11	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	NA
80	LV3-2-1	ST3L8	LV3	LV	162	8	300	2	LV3	0.25	1.7	5.1	1.8	16	1	1	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	14.9338843
132	LV3-9-2	ST13L9	LV3	LV	177	8	317	9	LV3	0.27	1.19	3.6	1.4	12	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	13.10752688
179	LV3-12-1	ST12L36	LV3	LV	181	8	308	12	LV3	0.37	1.21	4.2	1.2	12	1	0	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	27.4
177	LV3-5-2	ST4L9	LV3	LV	185	8	302	5	LV3	0.4	1.21	3.1	1.4	11	1	1	0	LV	2353.550747	40.4664	-121.52311	21003.1300163269	53634.7399466578	153277.359495163	147358.671234131	-1.58831978792723	11.1196747846235	2.50841922039611	0.0164403869946334	4.74193548387097	18.57142857
65	LVTR2-1-1	ST4L4	LVTR	LV	26	9	363	1	LVTR	0.33	1.6	6.8	1.9	13	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	13.39705882
59	LVTR2.5-12-1	ST4L48	LVTR	LV	38	9	375	12	LVTR	0.41	1.58	2.5	1.3	12	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	14.38461538
129	LVTR1.75-4-2	ST14L16	LVTR	LV	52	9	358	4	LVTR	0.32	1.41	5	1.5	13	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	12.32098765
43	LVTR1.5-8-1	ST3L29	LVTR	LV	55	9	340	8	LVTR	0.4	1.28	6.1	1.4	11	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	14.64179104
150	LVTR1-1-3	ST11L35	LVTR	LV	96	9	335	1	LVTR	0.33	1.34	4.1	1.4	14	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	12.84782609
106	LVTR2.5-1-1	ST13L38	LVTR	LV	121	9	382	1	LVTR	0.44	1.58	3.5	1.4	9	1	0	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	NA
123	LVTR1.75-1-1	ST9L39	LVTR	LV	143	9	352	1	LVTR	0.45	1.48	4.6	1.5	11	1	0	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	NA
68	LVTR1-10-2	ST10L22	LVTR	LV	161	9	334	10	LVTR	0.5	1.29	5	1.7	12	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	NA
124	LVTR2-18-1	ST12L25	LVTR	LV	169	9	370	18	LVTR	0.4	1.37	3.4	1.1	11	1	0	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	14.51515152
164	LVTR1.5-1-1	ST13L43	LVTR	LV	192	9	345	1	LVTR	0.36	1.27	4.3	1.1	11	1	1	0	LV	2741.38982	40.47923	-121.50301	18961.0999975204	55907.7400554456	163310.009928703	89835.1786499023	-1.78162603206468	11.0686449877171	2.89464263386527	0.0802162711958168	4.70967741935484	20.09090909
151	SHA-5 H5 19	ST1L50	SHA	SHA	11	10	806	5	SHA	0.19	1.09	2.1	1.1	5	1	1	0	SHA	1302.956416	40.40811	-123.33894	18546.3299541473	49187.8899094146	31163.7799859047	101994.531051636	4.61070460242126	17.8959620612747	-0.0479605407610971	-0.216300549095915	5.64516129032258	31.42105263
130	SHA-10 H4 75	ST15L50	SHA	SHA	14	10	813	10	SHA	0.15	1.96	5.2	1.5	7	1	1	0	SHA	1302.956416	40.40811	-123.33894	18546.3299541473	49187.8899094146	31163.7799859047	101994.531051636	4.61070460242126	17.8959620612747	-0.0479605407610971	-0.216300549095915	5.64516129032258	18.53488372
57	SHA-4 H5 4	ST17L14	SHA	SHA	17	10	814	4	SHA	0.49	1.33	3.3	1.8	9	1	1	0	SHA	1302.956416	40.40811	-123.33894	18546.3299541473	49187.8899094146	31163.7799859047	101994.531051636	4.61070460242126	17.8959620612747	-0.0479605407610971	-0.216300549095915	5.64516129032258	16.11340206
