"","ID","mf","pop","lf_thickness","postvern_stem_diam","postvern_height","postvern_lngst_lf","postvern_no_lvs","postvern_no_brs","flrd_yn","died_during_drt","site","el","lat","long","cwd","ppt","pck","str","tmn","tmx","PC1","PC2","season_length","sla"
"56","BH-13-2",13,"BH",0.23,1.22,7.1,2.3,12,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"57","BH-28-2",28,"BH",0.21,0.99,3.4,1.4,9,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"58","BH-7-2",7,"BH",0.23,0.96,5.1,1.2,5,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"59","BH-7-6",7,"BH",0.28,0.89,4.9,1.8,11,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"60","BH-15-4",15,"BH",0.2,0.98,1.2,0.5,9,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"61","BH-17-5",17,"BH",0.22,1.01,2.4,1.7,13,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"62","BH-3-2",3,"BH",0.27,1.17,3.4,1.6,7,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"63","BH-25-1",25,"BH",0.21,1.2,4.1,1.6,11,1,0,0,"BH",511.4294422,37.40985,-119.96458,27836.0099372864,17773.9100486152,0,130488.980545044,8.70943090610388,23.5232520348981,-2.93387448061084,1.72441414279779,6.7230255839822,NA
"64","CP2-10-1",10,"CP2",0.17,1.18,3.5,2.1,21,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"19.28225806"
"65","CP2-13-1",13,"CP2",0.23,1.38,4.2,2.2,16,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"16.81176471"
"66","CP2-17-3",17,"CP2",0.31,1.62,4.1,2.2,15,1,1,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"67","CP2-13-3",13,"CP2",0.29,1.35,3.4,1.4,15,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"17.38157895"
"68","CP2-6-2",6,"CP2",0.63,1.5,4.7,1.5,15,4,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"69","CP2-16-3",16,"CP2",0.17,1.54,4.2,2,15,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"70","CP2-16-2",16,"CP2",0.3,1.25,4.2,2.2,12,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"16"
"71","CP2-7-2",7,"CP2",0.33,2.68,4.1,2.1,16,1,0,1,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"5.795221843"
"72","CP2-17-1",17,"CP2",0.43,1.37,6,2.1,15,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"14.8961039"
"73","CP2-14-3",14,"CP2",0.35,1.62,3.1,2,13,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"74","CP2-17-2",17,"CP2",0.32,1.66,5.6,2.1,13,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"75","CP2-6-1",6,"CP2",0.28,1.52,5.2,2.5,21,3,1,1,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"22.34210526"
"76","CP2-11-1",11,"CP2",0.28,1.73,5.5,1.8,14,1,1,1,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"77","CP2-14-2",14,"CP2",0.47,1.73,4.5,2.5,30,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"16.47560976"
"78","CP2-11-3",11,"CP2",0.27,1.52,3.7,1.9,14,1,1,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"14.94545455"
"79","CP2-11-2",11,"CP2",0.24,1.61,4.3,2.2,10,1,0,1,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"80","CP2-10-2",10,"CP2",0.22,1.19,5.2,1.9,10,1,0,1,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"81","CP2-1-2",1,"CP2",0.41,1.59,2.6,2,12,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"11.32520325"
"82","CP2-14-1",14,"CP2",0.44,1.29,3.6,2.1,12,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"83","CP2-2-1",2,"CP2",0.51,1.98,3.7,1.9,23,7,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"12.12"
"84","CP2-9-1",9,"CP2",0.26,1.31,8,2.3,12,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"12.01685393"
"85","CP2-15-3",15,"CP2",0.6,1.08,5,1.3,15,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"86","CP2-7-3",7,"CP2",0.3,1.63,6.8,2.2,17,1,1,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"12.31952663"
"87","CP2-13-2",13,"CP2",0.37,1.29,3.6,1.6,12,1,1,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"88","CP2-10-3",10,"CP2",0.33,1.38,4.8,2,9,1,1,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"89","CP2-7-1",7,"CP2",0.52,1.6,6.3,2.6,15,1,1,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"90","CP2-16-1",16,"CP2",0.48,1.56,4.2,1.8,16,1,1,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"91","CP2-9-2",9,"CP2",0.44,1.55,7,1.5,16,1,1,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,NA
"92","CP2-15-2",15,"CP2",0.44,1.08,4.1,1.6,14,1,0,0,"CP2",2244.132886,38.66169,-120.13065,23033.6100845337,38523.0099671874,73666.9801073074,160683.830108643,1.04257453249157,13.4050135480033,0.613459965437426,0.580997989412265,5.35483870967742,"12.9009901"
